,warehouse_1_in,warehouse_1_out
0,55.3,56.1
1,54.06666666666667,55.35
2,56.0,55.63333333333333
3,54.833333333333336,56.2
4,53.166666666666664,57.56666666666667
5,54.03333333333333,54.36666666666667
6,53.71666666666667,55.6
7,51.65,54.416666666666664
8,55.46666666666667,55.166666666666664
9,47.083333333333336,50.2
10,53.18333333333333,52.233333333333334
11,54.7,57.61666666666667
12,42.35,43.833333333333336
13,52.916666666666664,56.18333333333333
14,43.46666666666667,44.86666666666667
15,42.43333333333333,42.766666666666666
16,40.86666666666667,44.416666666666664
17,52.11666666666667,55.18333333333333
18,52.85,56.166666666666664
19,55.25,53.85
20,52.38333333333333,55.483333333333334
21,45.766666666666666,50.86666666666667
22,51.8,54.9
23,54.43333333333333,54.35
24,42.666666666666664,46.55
25,54.56666666666667,56.36666666666667
26,43.85,45.36666666666667
27,54.63333333333333,56.21666666666667
28,51.6,55.56666666666667
29,54.63333333333333,53.53333333333333
30,52.96666666666667,54.78333333333333
31,44.45,43.61666666666667
32,42.61666666666667,42.06666666666667
33,42.68333333333333,44.016666666666666
